"He aided the Doukhobors in migrating to Canada .","aid","[u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'', u'']","[u'tending', u'attention', u'help', u'assistance', u'assist', u'economic_aid', u'care', u'financial_aid']","['N']","[u'help to ', u""lend one's aid"", u'humor ', u'help ', u'befriend ', u'aidance', u'subvention ', u'assist', u'help', u'succor', u'second ', u'promote ', u'nurture ']","['N']"
"""The concept of a `` picture element '' dates to the earliest days of television , for example as `` Bildpunkt '' in the 1888 German patent of Paul Nipkow .""","concept","[u'idea', u'idea', u'idea', u'idea', u'thought', u'idea', u'thought', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'theory', u'idea', u'idea', u'basis', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'idea', u'', u'']","[u'conception', u'construct']","['N']","[]","['N']"
"""The Eastern Orthodox Church accepts Psalm 151 as canonical . Roman Catholics , Protestants , and most Jews consider it apocryphal .""","*consider","[u'deem', u'think', u'think', u'think', u'call', u'think', u'think', u'believe ', u'find', u'think', u'think', u'find', u'think', u'believe', u'think', u'think', u'deem', u'think', u'think', u'assume', u'call', u'think', u'think', u'think', u'call', u'think', u'feel', u'think', u'think', u'think', u'think', u'believe', u'think', u'find', u'think', u'view', u'think', u'find', u'think of it as ', u'think', u'think of', u'think of it as', u'think', u'think', u'find', u'believe', u'figure', u'think', u'believe', u'think', u'', u'']","[u'count', u'conceive', u'deal', u'turn_over', u'reckon', u'study', u'regard', u'look_at', u'think', u'moot', u'see', u'take', u'weigh', u'deliberate', u'believe', u'debate', u'view']","['Y']","[u'think of', u'scan', u'calculate', u'deliberate', u'study', u'regard', u'scrutinize', u'excogitate', u'reflect', u'examine', u'esteem', u'presume', u'cogitate', u'think']","['Y']"
"Triton was revealed to have remarkable active geysers and polar caps .","remarkable","[u'real', u'extraordinary', u'incredible', u'amazing', u'notably', u'amazing', u'amazing', u'exceptional', u'amazing', u'unusual', u'amazing', u'impressive', u'awesome', u'amazing', u'incredible', u'great', u'amazing', u'amazing', u'amazing', u'awesome', u'amazing', u'great', u'super', u'amazing', u'amazing', u'amazing', u'incredible', u'incredible', u'amazing', u'amazing', u'great', u'amazing', u'impressive', u'outstanding', u'impressive', u'very', u'extraordinary', u'huge', u'incredible', u'interesting', u'amazing', u'wonderful', u'amazing', u'awesome', u'significant', u'noteworthy', u'interesting', u'beautiful', u'amazing', u'extraordinary', u'amazing', u'']","[u'noteworthy', u'singular']","['Y']","[u'noteworthy', u'pointed', u'marked', u'out of the way', u'outre', u'veriest', u'of mark', u'memorable']","['Y']"
"""Several people required rescue assistance , and in Comal County a car accident caused three fatalities .""","cause","[u'made', u'led to', u'created', u'made', u'created', u'instigated', u'caused', u'brought', u'created', u'lead to', u'created', u'created', u'made', u'led to', u'created', u'resulted in', u'made', u'created', u'made', u'led to', u'created', u'brought about', u'made', u'created', u'made happen', u'led to', u'resulted in', u'produced', u'resulted in', u'led to', u'lead to', u'incurred', u'created', u'lead to', u'made', u'resulted in', u'created', u'had', u'produced', u'created', u'causing', u'made', u'was the blame for', u'ended in', u'lead to', u'led to', u'produced', u'resulted in', u'made', u'', u'', u'']","[u'case', u'do', u'campaign', u'get', u'effort', u'make', u'drive', u'causal_agency', u'reason', u'lawsuit', u'induce', u'have', u'suit', u'causa', u'causal_agent', u'movement', u'stimulate', u'crusade', u'grounds']","['N']","[u'origin', u'because', u'reason why ', u'faintly ', u'originate ', u'therefore ', u'because ', u'weakness ', u'weaken ', u'source', u'origin ', u'suit', u'exhaust', u'shatter', u'found ', u'suscitate', u'occasion', u'lawsuit', u'germ ', u'sow the seeds of', u'element', u'principle', u'rationale ', u'action', u'kindle', u'weak ']","['N']"
"""It was founded in 1964 in Hamilton , Ontario by Canadian hockey player Tim Horton and Jim Charade , after an initial venture in hamburger restaurants .""","found","[u'explored', u'made', u'started', u'made', u'created', u'set', u'formed', u'started', u'formed', u'made', u'created', u'formed', u'started', u'started', u'started', u'started', u'begun', u'started', u'started', u'started', u'started', u'begun', u'set up', u'started', u'started', u""started'"", u'started', u'started', u'set up', u'opened', u'created', u'created', u'started', u'started', u'started', u'started', u'formed', u'created', u'made', u'created', u'formed', u'set up', u'created', u'set up', u'created', u'started', u'formed ', u'started', u'started', u'started', u'', u'']","[u'find_oneself', u'retrieve', u'bump', u'discover', u'set_up', u'constitute', u'see', u'determine', u'line_up', u'happen', u'recover', u'establish', u'find', u'witness', u'ground', u'detect', u'notice', u'feel', u'regain', u'plant', u'get_hold', u'get', u'obtain', u'chance', u'observe', u'incur', u'find_out', u'encounter', u'launch', u'institute', u'come_up', u'rule', u'receive', u'base', u'ascertain']","['N']","[u'bottom', u'institute', u'imbed', u'broach', u'lay the foundation of', u'base', u'embed', u'ground']","['N']"
"The Shinto pantheon alone consists of an uncountable number of kami .","consist","[u'is made up', u'is composed', u'is made', u'endures', u'made', u'composed', u'is made of', u'is made up of', u'includes', u'is made up', u'is', u'is made', u'is made', u'is', u'is made', u'is made up', u'contains', u'is made', u'is made up', u'is made up', u'is made ', u'has a lot', u'is made up', u'is made', u'has', u'is', u'has most ', u'is made up ', u'makes up', u'is made', u'is made', u'have', u'exists', u'contains', u'is made ', u'is formed', u'is made up', u'is made', u'comprises', u'belong', u'is made up of', u'is made up ', u'is made', u'is made ', u'is made up', u'contains', u'comprises', u'had', u'is', u'is made', u'', u'']","[u'dwell', u'comprise', u'lie_in', u'lie']","['N']","[]","['N']"
"""The axe , or ax , is an implement that has been used for millennia to shape , split and cut wood , harvest timber , as a weapon and a ceremonial or heraldic symbol . The axe has many forms and specialized uses but generally consists of an axe head with a handle , or helve .""","implement","[u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'instrument', u'instrument', u'tool', u'tool', u'instrument', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'tool', u'item', u'tool', u'device', u'tool', u'tool', u'tool', u'instrument', u'tool', u'instrument', u'tool', u'tool', u'tool', u'']","[u'follow_up', u'follow_through', u'go_through', u'carry_out', u'follow_out', u'apply', u'put_through', u'enforce']","['N']","[u'engine', u'organ', u'utensil', u'tool', u'lathe', u'machine', u'instrument', u'gin', u'mill']","['Y']"
"""Mainstream music denotes music that is familiar and unthreatening to the masses , as for example popular music , pop music , middle of the road music , pop rap or soft rock ; Mainstream jazz is generally seen as an evolution of be-bop , which was originally regarded as radical .""","denote","[u'means', u'indicates', u'shows', u'is', u'means', u'means', u'means', u'shows', u'promotes', u'means', u'means', u'expresses', u'is', u'shows', u'means', u'symbolizes', u'expresses', u'means', u'is', u'shows', u'means', u'expresses', u'means', u'marks', u'means', u'notates', u'indicates', u'means', u'means', u'defines', u'means', u'is', u'expresses ', u'represents', u'means', u'describes', u'is', u'frowns on', u'indicates', u'means', u'is', u'means', u'means', u'is', u'describes', u'is', u'marks', u'indicates', u'means', u'means', u'', u'']","[u'announce', u'refer']","['N']","[u'indicate ', u'betoken', u'indicate', u'point out', u'select']","['N']"
"""One theory suggests that the source of the name is an ancient Finnic language , in which it means `` dark '' and `` turbid '' .""","turbid","[u'cloudy', u'goth', u'heavy', u'angry', u'unclear', u'cloudy', u'dense', u'thick', u'unclear', u'cloudy', u'muddy', u'murky', u'murky', u'cloudy', u'thick', u'dense', u'heavy', u'thick', u'dense', u'cloudy', u'unclear', u'dingy', u'cloudy', u'confused', u'unclear', u'hazzy', u'cloudy', u'foggy', u'thick', u'foul', u'unclear', u'cloudy', u'moving', u'murky', u'thick', u'dense', u'troubled', u'murky', u'clouded', u'cloudy', u'muddy', u'thick', u'cloudy', u'dense', u'cloudy', u'confused', u'unclear', u'obscured', u'cloudy', u'unclear', u'', u'']","[u'murky', u'muddy', u'mirky', u'cloudy']","['Y']","[u'obfuscated', u'fuliginous', u'dreggy', u'vaporous', u'opacous', u'muggy ', u'muddy', u'hazy', u'foggy', u'thick', u'turbidity', u'nubiferous', u'cloud', u'misty']","['Y']"
"The technique consists of precoding the data so as to cancel the effect of the interference .","technique","[u'way', u'idea', u'style', u'method', u'style', u'method', u'process', u'method', u'procedure', u'process', u'style', u'method', u'method', u'approach', u'task', u'style', u'form', u'style', u'method', u'approach', u'style', u'step', u'method', u'process', u'process', u'method', u'method', u'task', u'method', u'steps', u'trick', u'method', u'skill', u'way', u'pattern', u'method', u'effort', u'skill', u'method', u'skill', u'style', u'method', u'method', u'way', u'practice', u'method', u'process', u'method', u'job', u'way', u'', u'']","[u'proficiency']","['N']","[]","['N']"
